M,N,K,kernel,avg_ms,TFLOPS,checksum
128,128,32,cublas,0.0103,0.1015,NA
128,128,32,cutlass-stage5,0.0162,0.0648,NA
128,128,32,cutlass-ref,0.0178,0.0588,NA
128,128,32,external-db,0.0130,0.0808,NA
128,256,32,cublas,0.0097,0.2172,NA
128,256,32,cutlass-stage5,0.0144,0.1461,NA
128,256,32,cutlass-ref,0.0160,0.1308,NA
128,256,32,external-db,0.0140,0.1495,NA
256,128,64,cublas,0.0079,0.5299,NA
256,128,64,cutlass-stage5,0.0221,0.1895,NA
256,128,64,cutlass-ref,0.0190,0.2213,NA
256,128,64,external-db,0.0168,0.2490,NA
256,256,64,cublas,0.0066,1.2662,NA
256,256,64,cutlass-stage5,0.0179,0.4697,NA
256,256,64,cutlass-ref,0.0190,0.4411,NA
256,256,64,external-db,0.0213,0.3933,NA
512,128,128,cublas,0.0098,1.7156,NA
512,128,128,cutlass-stage5,0.0346,0.4849,NA
512,128,128,cutlass-ref,0.0346,0.4852,NA
512,128,128,external-db,0.0328,0.5118,NA
128,512,128,cublas,0.0087,1.9253,NA
128,512,128,cutlass-stage5,0.0411,0.4080,NA
128,512,128,cutlass-ref,0.0387,0.4338,NA
128,512,128,external-db,0.0370,0.4531,NA
512,512,128,cublas,0.0151,4.4341,NA
512,512,128,cutlass-stage5,0.0380,1.7674,NA
512,512,128,cutlass-ref,0.0416,1.6126,NA
512,512,128,external-db,0.0385,1.7434,NA
512,1024,128,cublas,0.0249,5.3895,NA
512,1024,128,cutlass-stage5,0.0397,3.3781,NA
512,1024,128,cutlass-ref,0.0390,3.4384,NA
512,1024,128,external-db,0.0371,3.6148,NA
1024,512,256,cublas,0.0327,8.2074,NA
1024,512,256,cutlass-stage5,0.0681,3.9414,NA
1024,512,256,cutlass-ref,0.0722,3.7173,NA
1024,512,256,external-db,0.0790,3.3992,NA
1024,1024,256,cublas,0.0507,10.5981,NA
1024,1024,256,cutlass-stage5,0.0694,7.7329,NA
1024,1024,256,cutlass-ref,0.0690,7.7753,NA
1024,1024,256,external-db,0.0920,5.8364,NA
1024,2048,256,cublas,0.0955,11.2376,NA
1024,2048,256,cutlass-stage5,0.1520,7.0635,NA
1024,2048,256,cutlass-ref,0.1531,7.0120,NA
1024,2048,256,external-db,0.1512,7.1027,NA
2048,1024,512,cublas,0.1809,11.8684,NA
2048,1024,512,cutlass-stage5,0.2930,7.3299,NA
2048,1024,512,cutlass-ref,0.2738,7.8442,NA
2048,1024,512,external-db,0.2679,8.0172,NA
2048,2048,512,cublas,0.3222,13.3284,NA
2048,2048,512,cutlass-stage5,0.4024,10.6731,NA
2048,2048,512,cutlass-ref,0.3965,10.8330,NA
2048,2048,512,external-db,0.3890,11.0414,NA
2048,4096,512,cublas,0.6147,13.9750,NA
2048,4096,512,cutlass-stage5,0.7602,11.2992,NA
2048,4096,512,cutlass-ref,0.5102,16.8361,NA
2048,4096,512,external-db,0.5019,17.1165,NA
4096,2048,1024,cublas,1.0128,16.9628,NA
4096,2048,1024,cutlass-stage5,1.0412,16.5003,NA
4096,2048,1024,cutlass-ref,1.0063,17.0731,NA
4096,2048,1024,external-db,1.0042,17.1072,NA
4096,4096,1024,cublas,1.9023,18.0626,NA
4096,4096,1024,cutlass-stage5,2.0499,16.7618,NA
4096,4096,1024,cutlass-ref,1.9949,17.2240,NA
4096,4096,1024,external-db,1.9785,17.3668,NA
4096,4096,2048,cublas,3.9069,17.5892,NA
4096,4096,2048,cutlass-stage5,4.1162,16.6947,NA
4096,4096,2048,cutlass-ref,3.9577,17.3636,NA
4096,4096,2048,external-db,3.9814,17.2600,NA
4096,4096,4096,cublas,7.7017,17.8453,NA
4096,4096,4096,cutlass-stage5,8.2126,16.7350,NA
4096,4096,4096,cutlass-ref,7.9182,17.3573,NA
4096,4096,4096,external-db,7.9653,17.2548,NA
8192,4096,1024,cublas,3.7362,18.3928,NA
8192,4096,1024,cutlass-stage5,3.9361,17.4586,NA
8192,4096,1024,cutlass-ref,3.8598,17.8038,NA
8192,4096,1024,external-db,3.8277,17.9534,NA
4096,8192,1024,cublas,4.0201,17.0942,NA
4096,8192,1024,cutlass-stage5,3.9648,17.3323,NA
4096,8192,1024,cutlass-ref,3.8619,17.7943,NA
4096,8192,1024,external-db,3.8662,17.7744,NA
8192,8192,512,cublas,3.8274,17.9545,NA
8192,8192,512,cutlass-stage5,4.0159,17.1118,NA
8192,8192,512,cutlass-ref,3.9590,17.3580,NA
8192,8192,512,external-db,3.8787,17.7172,NA
8192,8192,1024,cublas,7.6341,18.0033,NA
8192,8192,1024,cutlass-stage5,7.9924,17.1962,NA
8192,8192,1024,cutlass-ref,7.8089,17.6003,NA
8192,8192,1024,external-db,7.8222,17.5703,NA
8192,8192,2048,cublas,15.2898,17.9779,NA
8192,8192,2048,cutlass-stage5,16.0194,17.1591,NA
8192,8192,2048,cutlass-ref,15.5137,17.7184,NA
8192,8192,2048,external-db,15.6271,17.5898,NA
